iter	Passed	Remaining
448	1080	1326
449	1082	1322
450	1084	1319
451	1086	1316
452	1088	1313
453	1089	1310
454	1091	1307
455	1092	1303
456	1094	1300
457	1096	1297
458	1097	1293
459	1099	1290
460	1101	1288
461	1103	1285
462	1105	1281
463	1107	1278
464	1108	1275
465	1110	1272
466	1111	1268
467	1113	1265
468	1115	1262
469	1117	1260
470	1119	1257
471	1121	1254
472	1123	1251
473	1125	1248
474	1126	1245
475	1128	1242
476	1130	1239
477	1132	1236
478	1134	1233
479	1135	1230
480	1137	1227
481	1139	1224
482	1140	1221
483	1142	1218
484	1145	1215
485	1146	1213
486	1148	1209
487	1150	1206
488	1151	1203
489	1153	1200
490	1155	1197
491	1157	1194
492	1158	1191
493	1161	1189
494	1162	1186
495	1164	1183
496	1165	1179
497	1167	1176
498	1168	1173
499	1170	1170
500	1172	1167
501	1174	1165
502	1176	1162
503	1178	1159
504	1180	1156
505	1181	1153
506	1183	1150
507	1185	1147
508	1187	1145
509	1189	1142
510	1191	1139
511	1192	1137
512	1194	1134
513	1196	1131
514	1197	1128
515	1199	1125
516	1201	1122
517	1202	1119
518	1205	1117
519	1206	1114
520	1208	1111
521	1210	1108
522	1211	1105
523	1213	1102
524	1215	1099
525	1216	1096
526	1219	1094
527	1221	1091
528	1222	1088
529	1224	1085
530	1226	1082
531	1227	1080
532	1229	1077
533	1231	1074
534	1233	1071
535	1235	1069
536	1236	1066
537	1238	1063
538	1240	1060
539	1241	1057
540	1243	1055
541	1245	1052
542	1247	1050
543	1249	1047
544	1251	1044
545	1252	1041
546	1254	1038
547	1256	1036
548	1257	1033
549	1259	1030
550	1260	1027
551	1262	1024
552	1264	1022
553	1266	1019
554	1268	1016
555	1269	1013
556	1271	1011
557	1273	1008
558	1274	1005
559	1276	1002
560	1278	1000
561	1280	997
562	1281	994
563	1283	992
564	1284	989
565	1286	986
566	1288	983
567	1289	980
568	1291	978
569	1293	975
570	1295	973
571	1297	970
572	1299	968
573	1300	965
574	1302	962
575	1304	959
576	1305	957
577	1307	954
578	1309	952
579	1311	949
580	1313	947
581	1315	944
582	1317	942
583	1318	939
584	1320	936
585	1322	934
586	1324	931
587	1326	929
588	1327	926
589	1329	923
590	1331	921
591	1332	918
592	1334	915
593	1335	913
594	1338	911
595	1340	908
596	1342	906
597	1343	903
598	1345	900
599	1347	898
600	1349	895
601	1350	893
602	1353	891
603	1355	888
604	1356	885
605	1358	883
606	1360	880
607	1361	877
608	1363	875
609	1364	872
610	1366	870
611	1368	867
612	1370	865
613	1371	862
614	1373	859
615	1375	857
616	1376	854
617	1378	852
618	1380	849
619	1382	847
620	1384	844
621	1385	842
622	1387	839
623	1389	836
624	1390	834
625	1392	831
626	1394	829
627	1396	827
628	1398	824
629	1400	822
630	1402	819
631	1403	817
632	1405	814
633	1407	812
634	1408	809
635	1410	807
636	1412	805
637	1414	802
638	1416	800
639	1417	797
640	1419	795
641	1421	792
642	1423	790
643	1424	787
644	1427	785
645	1428	782
646	1429	780
647	1431	777
648	1433	775
649	1434	772
650	1436	769
651	1438	767
652	1440	765
653	1442	763
654	1444	760
655	1445	758
656	1447	755
657	1448	752
658	1450	750
659	1451	747
660	1453	745
661	1455	743
662	1457	741
663	1459	738
664	1461	736
665	1462	733
666	1464	731
667	1466	728
668	1467	726
669	1469	723
670	1471	721
671	1473	719
672	1475	716
673	1476	714
674	1478	711
675	1480	709
676	1481	706
677	1483	704
678	1487	703
679	1489	700
680	1491	698
681	1492	696
682	1494	693
683	1496	691
684	1497	688
685	1499	686
686	1502	684
687	1503	682
688	1505	679
689	1507	677
690	1509	674
691	1510	672
692	1512	669
693	1514	667
694	1516	665
695	1518	663
696	1519	660
697	1521	658
698	1523	655
699	1524	653
700	1526	651
701	1528	648
702	1530	646
703	1532	644
704	1533	641
705	1535	639
706	1537	637
707	1538	634
708	1540	632
709	1542	629
710	1543	627
711	1546	625
712	1547	623
713	1549	620
714	1551	618
715	1552	615
716	1554	613
717	1556	611
718	1557	608
719	1559	606
720	1561	604
721	1563	601
722	1564	599
723	1566	597
724	1568	594
725	1570	592
726	1571	590
727	1573	587
728	1575	585
729	1577	583
730	1579	581
731	1580	578
732	1582	576
733	1584	574
734	1585	571
735	1587	569
736	1589	567
737	1591	565
738	1593	562
739	1595	560
740	1596	558
741	1598	555
742	1599	553
743	1601	551
744	1603	548
745	1605	546
746	1607	544
747	1609	542
748	1611	539
749	1612	537
750	1614	535
751	1616	533
752	1617	530
753	1620	528
754	1621	526
755	1623	524
756	1625	521
757	1626	519
758	1628	517
759	1630	514
760	1631	512
761	1634	510
762	1635	508
763	1637	505
764	1639	503
765	1641	501
766	1642	499
767	1644	496
768	1646	494
769	1647	492
770	1649	490
771	1651	487
772	1653	485
773	1654	483
774	1656	480
775	1658	478
776	1659	476
777	1661	474
778	1663	471
779	1665	469
780	1666	467
781	1668	465
782	1670	462
783	1671	460
784	1673	458
785	1675	456
786	1677	453
787	1679	451
788	1681	449
789	1682	447
790	1684	445
791	1686	442
792	1688	440
793	1689	438
794	1691	436
795	1693	434
